order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
32,6607,2025-09-09,114,3,234.95,704.85,Completed,2025-09-12
33,4485,2023-06-27,210,9,34.93,314.37,Completed,2023-07-01
34,2386,2024-07-12,428,10,35.65,356.5,Completed,2024-07-16
35,7041,2024-02-08,308,9,68.43,615.87,Completed,2024-02-12
36,229,2023-02-13,282,7,110.87,776.09,Pending,
37,1532,2025-03-09,353,1,1825.14,1825.14,Completed,2025-03-11
38,4416,2025-04-07,267,8,583.44,4667.52,Completed,2025-04-10
39,1830,2024-06-04,328,9,62.28,560.52,Completed,2024-06-07
40,6696,2025-11-18,100,9,65.15,586.35,Completed,2025-11-20
41,7993,2025-12-01,176,3,30.54,91.62,Completed,2025-12-04
42,6799,2025-02-04,299,4,605.76,2423.04,Cancelled,
43,1278,2024-06-03,326,9,112.6,1013.4,Completed,2024-06-08
44,6043,2023-07-08,244,8,43.71,349.68,Completed,2023-07-10
45,9381,2024-04-08,311,9,50.04,450.36,Completed,2024-04-09
46,9254,2025-04-14,296,3,31.4,94.2,Completed,2025-04-18
47,1631,2025-01-07,471,2,125.86,251.72,Cancelled,
48,2094,2024-02-03,465,2,279.12,558.24,Pending,
49,1758,2025-08-09,138,6,167.78,1006.68,Cancelled,
50,2637,2024-06-29,101,1,469.61,469.61,Completed,2024-06-30
51,9072,2023-11-30,269,9,84.36,759.24,Cancelled,
52,797,2024-10-09,387,4,355.82,1423.28,Completed,2024-10-14
53,5589,2024-06-12,40,9,55.36,498.24,Pending,
54,9365,2024-10-21,298,10,239.4,2394.0,Cancelled,
55,8251,2023-12-28,198,2,85.09,170.18,Cancelled,
56,4547,2023-10-14,493,7,267.63,1873.41,Pending,
57,5352,2025-04-20,321,9,1096.3,9866.7,Completed,2025-04-21
58,4017,2025-01-05,145,9,1411.33,12701.97,Completed,2025-01-09
59,6673,2024-11-09,440,2,6.86,13.72,Completed,2024-11-10
60,9857,2023-02-13,442,2,199.86,399.72,Completed,2023-02-17
61,5829,2025-02-24,184,4,35.36,141.44,Cancelled,
62,4278,2024-08-18,104,3,14.78,44.34,Cancelled,
63,9024,2025-02-19,50,7,137.36,961.52,Completed,2025-02-24
64,3349,2023-01-14,336,4,32.5,130.0,Completed,2023-01-19
65,637,2023-03-01,4,4,38.78,155.12,Pending,
66,2087,2024-01-25,337,7,1466.05,10262.35,Cancelled,
67,6538,2023-01-22,8,2,29.82,59.64,Completed,2023-01-25
68,4399,2025-10-13,232,2,27.77,55.54,Completed,2025-10-14
69,8932,2025-01-14,477,8,470.12,3760.96,Pending,
70,6857,2023-04-19,204,4,38.01,152.04,Cancelled,
71,5743,2024-02-27,170,5,211.78,1058.9,Completed,2024-03-02
72,9141,2024-10-09,483,8,731.01,5848.08,Completed,2024-10-13
73,7444,2025-04-15,248,3,12.84,38.52,Completed,2025-04-20
74,1913,2024-01-14,365,8,180.7,1445.6,Completed,2024-01-19
75,7092,2023-06-21,483,9,731.01,6579.09,Completed,2023-06-26
76,6924,2023-12-23,381,2,218.47,436.94,Completed,2023-12-24
77,9367,2023-04-19,124,1,72.38,72.38,Completed,2023-04-23
78,67,2024-08-10,387,4,355.82,1423.28,Completed,2024-08-15
79,1622,2024-09-12,205,4,582.19,2328.76,Cancelled,
80,8009,2024-03-29,147,4,599.21,2396.84,Completed,2024-04-03
81,9624,2024-02-22,15,9,107.44,966.96,Cancelled,
82,2802,2025-10-09,85,4,277.8,1111.2,Completed,2025-10-12
83,9595,2024-09-22,211,8,740.66,5925.28,Completed,2024-09-25
84,393,2024-03-30,85,6,277.8,1666.8,Completed,2024-04-03
85,7025,2025-09-30,95,1,41.62,41.62,Pending,
86,3943,2025-11-24,304,6,25.63,153.78,Cancelled,
87,6405,2024-06-26,335,2,26.32,52.64,Completed,2024-06-28
88,8926,2025-12-10,226,5,107.21,536.05,Completed,2025-12-15
89,5704,2025-06-19,312,5,58.2,291.0,Pending,
90,2329,2025-08-18,166,1,102.45,102.45,Cancelled,
91,9535,2023-03-21,67,2,166.79,333.58,Pending,
92,2874,2024-04-30,82,2,139.73,279.46,Pending,
93,5018,2023-09-08,393,8,956.12,7648.96,Completed,2023-09-10
94,1678,2023-05-04,121,1,1865.91,1865.91,Completed,2023-05-06
95,8751,2025-04-02,216,5,65.07,325.35,Completed,2025-04-03
96,9817,2024-05-01,153,1,1961.05,1961.05,Completed,2024-05-06
97,3826,2023-03-23,390,10,100.7,1007.0,Completed,2023-03-28
98,4327,2024-01-07,320,9,41.24,371.16,Pending,
99,4647,2023-02-01,43,4,271.93,1087.72,Cancelled,
100,9479,2024-08-17,317,5,526.0,2630.0,Completed,2024-08-20
101,6111,2023-09-01,355,1,213.02,213.02,Pending,
102,919,2025-07-30,356,2,78.21,156.42,Cancelled,
103,7542,2025-01-28,305,9,1808.2,16273.8,Cancelled,
104,4487,2023-12-28,374,10,160.19,1601.9,Completed,2024-01-02
105,675,2025-06-18,21,5,404.36,2021.8,Pending,
106,4744,2024-07-23,362,4,213.18,852.72,Completed,2024-07-27
107,641,2023-09-09,381,7,218.47,1529.29,Pending,
108,2560,2023-08-06,31,7,29.63,207.41,Completed,2023-08-11
109,7379,2025-04-27,468,4,9.73,38.92,Pending,
110,4974,2023-03-30,320,7,41.24,288.68,Completed,2023-04-02
111,4363,2023-01-24,436,8,74.56,596.48,Completed,2023-01-29
112,3506,2023-03-29,450,1,101.95,101.95,Completed,2023-03-30
113,8796,2023-05-10,15,7,107.44,752.08,Completed,2023-05-11
114,2466,2024-11-28,496,9,8.56,77.04,Cancelled,
115,9431,2024-11-05,335,1,26.32,26.32,Cancelled,
116,3654,2023-01-05,13,8,86.65,693.2,Completed,2023-01-10
117,3912,2025-12-19,15,3,107.44,322.32,Cancelled,
118,6352,2024-08-16,206,8,134.21,1073.68,Completed,2024-08-17
119,7654,2024-04-15,126,1,33.42,33.42,Completed,2024-04-16
120,4682,2024-01-14,131,6,514.01,3084.06,Completed,2024-01-15
121,6369,2025-02-01,372,1,74.97,74.97,Pending,
122,4093,2025-03-20,100,8,65.15,521.2,Cancelled,
123,7761,2023-10-11,462,5,178.89,894.45,Completed,2023-10-15
124,8536,2023-07-23,338,7,155.93,1091.51,Completed,2023-07-27
125,8655,2025-09-16,449,1,1965.18,1965.18,Pending,
126,6450,2024-11-04,197,2,123.05,246.1,Cancelled,
127,2787,2024-06-22,329,3,348.1,1044.3,Completed,2024-06-24
128,6370,2025-10-04,404,5,36.4,182.0,Completed,2025-10-05
129,6241,2024-04-03,134,6,84.08,504.48,Completed,2024-04-05
130,2224,2024-01-30,339,6,282.06,1692.36,Pending,
131,8544,2024-08-08,457,9,417.52,3757.68,Completed,2024-08-12
132,7501,2024-09-05,172,10,26.05,260.5,Completed,2024-09-08
133,4422,2023-03-31,252,1,40.99,40.99,Completed,2023-04-04
134,369,2023-12-30,80,9,59.93,539.37,Pending,
135,7212,2023-09-01,424,10,39.56,395.6,Pending,
136,2137,2023-09-26,50,5,137.36,686.8,Completed,2023-09-29
137,7500,2024-03-18,200,8,49.36,394.88,Cancelled,
138,4129,2025-07-03,169,6,1064.53,6387.18,Pending,
139,7150,2025-11-09,239,10,119.84,1198.4,Cancelled,
140,8892,2023-01-18,204,8,38.01,304.08,Pending,
141,904,2023-09-09,183,4,63.75,255.0,Cancelled,
142,281,2024-04-09,47,9,119.15,1072.35,Completed,2024-04-13
143,6748,2025-04-27,460,6,70.36,422.16,Completed,2025-04-30
144,4449,2025-05-29,242,6,240.55,1443.3,Pending,
145,6983,2024-06-30,170,4,211.78,847.12,Completed,2024-07-01
146,1199,2023-06-14,403,1,486.03,486.03,Completed,2023-06-19
147,8690,2025-01-17,81,7,1667.38,11671.66,Completed,2025-01-22
148,2301,2025-12-15,140,4,63.26,253.04,Completed,2025-12-17
149,1331,2025-02-20,457,3,417.52,1252.56,Completed,2025-02-22
150,4054,2025-02-03,39,10,33.1,331.0,Pending,
151,8185,2023-03-04,350,1,141.84,141.84,Completed,2023-03-05
152,985,2024-04-03,457,8,417.52,3340.16,Pending,
153,5005,2024-01-10,82,3,139.73,419.19,Completed,2024-01-14
154,8295,2024-02-17,157,7,97.58,683.06,Cancelled,
155,5170,2024-06-25,226,8,107.21,857.68,Cancelled,
156,830,2025-11-17,167,1,59.21,59.21,Completed,2025-11-21
157,2015,2023-08-04,24,8,35.57,284.56,Pending,
158,5854,2023-08-06,49,2,973.3,1946.6,Pending,
159,6497,2025-09-14,489,2,1323.72,2647.44,Cancelled,
160,1633,2024-08-17,305,8,1808.2,14465.6,Completed,2024-08-18
161,3904,2023-12-31,340,1,68.45,68.45,Completed,2024-01-01
162,1066,2023-04-07,355,7,213.02,1491.14,Completed,2023-04-10
163,5742,2024-01-18,209,3,1956.94,5870.82,Completed,2024-01-21
164,4628,2024-11-20,130,8,238.53,1908.24,Completed,2024-11-23
165,6538,2024-11-22,452,3,27.78,83.34,Pending,
166,3455,2023-07-30,185,1,402.8,402.8,Completed,2023-07-31
167,9870,2023-12-30,117,5,358.14,1790.7,Pending,
168,453,2023-07-19,479,6,37.23,223.38,Pending,
169,2422,2023-10-07,51,7,663.12,4641.84,Pending,
170,650,2024-04-07,285,8,516.8,4134.4,Pending,
171,8560,2023-11-18,186,10,69.72,697.2,Pending,
172,2992,2023-06-13,402,4,181.98,727.92,Cancelled,
173,303,2024-10-07,217,9,1370.71,12336.39,Cancelled,
174,7829,2024-08-29,179,9,20.45,184.05,Completed,2024-09-01
175,8928,2023-06-08,138,3,167.78,503.34,Cancelled,
176,8514,2024-05-02,161,1,847.12,847.12,Pending,
177,2092,2024-03-08,468,7,9.73,68.11,Completed,2024-03-12
178,664,2025-09-12,73,9,305.55,2749.95,Completed,2025-09-16
179,2919,2023-12-04,1,9,1559.21,14032.89,Completed,2023-12-06
180,1718,2023-02-11,111,9,112.35,1011.15,Cancelled,
181,7672,2024-05-27,406,8,97.77,782.16,Pending,
182,3391,2025-06-07,239,1,119.84,119.84,Completed,2025-06-12
183,4478,2023-07-05,324,6,20.58,123.48,Pending,
184,6501,2025-12-29,136,6,66.54,399.24,Cancelled,
185,4434,2025-12-19,431,5,73.58,367.9,Cancelled,
186,2852,2025-04-11,154,4,164.56,658.24,Pending,
187,2168,2025-07-20,350,1,141.84,141.84,Completed,2025-07-23
188,2219,2024-04-12,285,4,516.8,2067.2,Pending,
189,1292,2024-08-19,347,4,358.76,1435.04,Completed,2024-08-24
190,5883,2023-09-21,375,3,126.22,378.66,Pending,
191,2281,2025-08-09,259,5,15.74,78.7,Completed,2025-08-10
192,6815,2025-01-05,500,3,52.33,156.99,Cancelled,
193,3607,2023-05-09,177,7,1555.6,10889.2,Pending,
194,4875,2024-03-21,38,1,42.81,42.81,Cancelled,
195,8420,2024-03-05,365,4,180.7,722.8,Pending,
196,6685,2024-05-26,195,1,94.72,94.72,Completed,2024-05-27
197,2911,2025-01-16,238,2,124.03,248.06,Pending,
198,42,2025-05-28,182,5,178.34,891.7,Pending,
199,7277,2025-03-26,167,2,59.21,118.42,Cancelled,
200,3279,2025-02-03,131,8,514.01,4112.08,Cancelled,
201,758,2025-10-23,450,8,101.95,815.6,Pending,
202,6095,2024-05-27,58,3,136.04,408.12,Cancelled,
203,8068,2024-10-23,462,3,178.89,536.67,Pending,
204,6510,2023-04-23,113,7,235.43,1648.01,Pending,
205,8259,2024-11-05,146,5,62.42,312.1,Completed,2024-11-07
206,1945,2024-09-22,150,4,113.19,452.76,Completed,2024-09-24
207,8543,2024-12-25,362,4,213.18,852.72,Pending,
208,3321,2023-07-08,259,6,15.74,94.44,Completed,2023-07-11
209,5242,2025-11-19,280,10,73.84,738.4,Completed,2025-11-21
210,2264,2025-04-04,16,7,61.33,429.31,Pending,
211,6153,2023-07-01,66,5,57.13,285.65,Completed,2023-07-02
212,8986,2023-08-08,251,4,217.15,868.6,Cancelled,
213,9746,2023-10-19,365,10,180.7,1807.0,Completed,2023-10-21
214,2961,2025-02-07,474,3,243.37,730.11,Pending,
215,4039,2024-06-27,190,9,17.99,161.91,Pending,
216,8820,2023-05-17,397,9,90.95,818.55,Completed,2023-05-20
217,3111,2023-02-28,43,7,271.93,1903.51,Completed,2023-03-02
218,8837,2025-05-17,323,5,763.13,3815.65,Completed,2025-05-21
219,5394,2024-04-29,235,5,134.49,672.45,Pending,
220,5258,2023-04-10,252,7,40.99,286.93,Completed,2023-04-14
221,9361,2024-10-23,467,10,459.15,4591.5,Completed,2024-10-27
222,8709,2025-12-19,215,5,14.95,74.75,Completed,2025-12-24
223,9182,2025-02-18,37,5,66.87,334.35,Completed,2025-02-20
224,767,2025-10-23,139,4,34.85,139.4,Pending,
225,1136,2024-08-03,24,3,35.57,106.71,Pending,
226,1262,2025-04-19,301,2,286.37,572.74,Cancelled,
227,5353,2023-03-11,332,9,20.9,188.1,Completed,2023-03-13
228,4068,2025-12-27,239,6,119.84,719.04,Pending,
229,2198,2023-05-16,360,9,39.29,353.61,Completed,2023-05-21
230,6918,2025-01-17,396,7,66.73,467.11,Completed,2025-01-18
231,2253,2023-01-03,466,4,51.6,206.4,Cancelled,
232,9706,2025-05-25,158,8,89.56,716.48,Pending,
233,3575,2025-07-31,126,10,33.42,334.2,Pending,
234,4669,2023-05-05,123,3,622.17,1866.51,Completed,2023-05-09
235,587,2023-01-12,379,4,781.61,3126.44,Completed,2023-01-14
236,74,2023-04-12,381,5,218.47,1092.35,Completed,2023-04-17
237,1604,2025-04-30,53,10,175.93,1759.3,Completed,2025-05-01
238,1816,2024-08-18,275,7,244.27,1709.89,Pending,
239,944,2025-06-24,124,10,72.38,723.8,Completed,2025-06-27
240,4381,2023-07-07,386,6,30.87,185.22,Cancelled,
241,7023,2024-06-14,235,1,134.49,134.49,Completed,2024-06-16
242,6900,2024-12-31,410,10,126.88,1268.8,Pending,
243,8004,2023-02-14,277,5,525.59,2627.95,Completed,2023-02-19
244,5866,2024-01-24,288,8,56.18,449.44,Cancelled,
245,1396,2025-04-29,179,5,20.45,102.25,Pending,
246,8762,2023-02-26,249,1,1040.92,1040.92,Cancelled,
247,8449,2024-02-20,317,3,526.0,1578.0,Completed,2024-02-25
248,2656,2025-10-21,486,8,23.58,188.64,Cancelled,
249,8627,2025-05-07,116,3,64.63,193.89,Pending,
250,5400,2024-11-12,422,5,171.17,855.85,Pending,
251,3857,2023-05-08,249,7,1040.92,7286.44,Cancelled,
252,1443,2025-04-16,345,8,1042.42,8339.36,Completed,2025-04-20
253,9344,2025-01-27,79,9,140.49,1264.41,Completed,2025-01-28
254,6453,2024-09-29,284,1,77.12,77.12,Completed,2024-10-01
255,4374,2024-04-10,139,6,34.85,209.1,Completed,2024-04-11
256,7624,2024-06-18,73,8,305.55,2444.4,Pending,
257,7745,2023-11-16,479,5,37.23,186.15,Completed,2023-11-20
258,5135,2023-04-10,5,3,389.88,1169.64,Pending,
259,2164,2023-11-28,448,9,61.77,555.93,Completed,2023-11-30
260,4482,2025-01-30,382,1,149.25,149.25,Cancelled,
261,6099,2025-08-22,9,7,1567.85,10974.95,Cancelled,
262,1859,2024-01-08,88,2,62.73,125.46,Cancelled,
263,1211,2024-09-19,229,4,384.38,1537.52,Completed,2024-09-24
264,9341,2024-09-27,278,10,103.21,1032.1,Completed,2024-10-02
265,5821,2024-04-16,107,4,245.94,983.76,Pending,
266,6062,2023-01-29,305,5,1808.2,9041.0,Completed,2023-02-03
267,4405,2023-10-30,308,8,68.43,547.44,Completed,2023-11-04
268,8152,2025-09-28,340,6,68.45,410.7,Cancelled,
269,3700,2024-09-21,149,9,169.75,1527.75,Completed,2024-09-24
270,243,2024-08-29,260,5,17.21,86.05,Completed,2024-09-03
271,7674,2023-11-18,340,3,68.45,205.35,Completed,2023-11-23
272,2514,2025-11-23,397,3,90.95,272.85,Pending,
273,7607,2025-10-30,462,9,178.89,1610.01,Completed,2025-10-31
274,4824,2025-11-17,195,9,94.72,852.48,Completed,2025-11-19
275,3590,2024-04-19,437,7,41.02,287.14,Completed,2024-04-22
276,5363,2024-12-16,45,8,352.83,2822.64,Completed,2024-12-20
277,4390,2024-11-02,136,3,66.54,199.62,Completed,2024-11-05
278,4050,2024-03-20,436,2,74.56,149.12,Cancelled,
279,2719,2023-06-21,353,9,1825.14,16426.26,Cancelled,
280,3373,2024-05-19,54,6,140.21,841.26,Pending,
281,3325,2024-11-04,11,3,598.87,1796.61,Completed,2024-11-06
282,4504,2024-04-25,278,2,103.21,206.42,Pending,
283,9720,2025-07-12,384,7,67.51,472.57,Pending,
284,3660,2024-11-15,20,3,47.66,142.98,Completed,2024-11-20
285,6230,2024-01-12,169,8,1064.53,8516.24,Pending,
286,401,2025-03-23,307,3,251.92,755.76,Pending,
287,34,2025-12-12,361,10,526.19,5261.9,Cancelled,
288,6928,2024-01-10,165,4,394.94,1579.76,Completed,2024-01-11
289,6675,2025-05-24,383,2,114.33,228.66,Completed,2025-05-26
290,7713,2025-04-07,319,9,141.48,1273.32,Pending,
291,5593,2024-09-07,439,3,13.47,40.41,Completed,2024-09-09
292,3113,2024-08-12,218,5,225.47,1127.35,Completed,2024-08-14
293,996,2023-10-11,77,1,384.05,384.05,Pending,
294,9660,2023-12-18,467,3,459.15,1377.45,Completed,2023-12-19
295,1835,2025-03-25,384,2,67.51,135.02,Completed,2025-03-30
296,9870,2025-05-23,126,10,33.42,334.2,Completed,2025-05-28
297,2732,2024-01-19,406,1,97.77,97.77,Pending,
298,5686,2024-12-23,149,4,169.75,679.0,Completed,2024-12-24
299,931,2024-05-13,333,5,387.02,1935.1,Cancelled,
300,7941,2023-01-19,183,1,63.75,63.75,Completed,2023-01-21
301,4025,2023-09-24,312,8,58.2,465.6,Completed,2023-09-26
302,5456,2025-11-21,39,6,33.1,198.6,Completed,2025-11-26
303,1305,2023-03-19,74,2,108.43,216.86,Pending,
304,2611,2024-02-14,432,6,27.45,164.7,Completed,2024-02-16
305,4049,2023-12-19,211,1,740.66,740.66,Pending,
306,701,2023-08-23,48,5,39.35,196.75,Pending,
307,7387,2024-05-31,302,7,90.82,635.74,Completed,2024-06-02
308,3445,2024-01-11,101,5,469.61,2348.05,Completed,2024-01-14
309,7353,2025-03-09,173,6,195.2,1171.2,Completed,2025-03-13
310,1854,2023-11-24,64,8,23.37,186.96,Pending,
311,336,2023-02-11,384,4,67.51,270.04,Completed,2023-02-14
312,9223,2024-07-06,65,6,289.37,1736.22,Completed,2024-07-09
313,2211,2023-10-02,283,2,323.27,646.54,Cancelled,
314,9713,2023-06-08,201,6,981.13,5886.78,Pending,
315,6959,2024-09-27,355,1,213.02,213.02,Pending,
316,5318,2023-09-24,88,3,62.73,188.19,Completed,2023-09-28
317,6338,2023-01-25,410,5,126.88,634.4,Completed,2023-01-26
318,5632,2024-04-21,442,10,199.86,1998.6,Completed,2024-04-24
319,3761,2024-02-10,105,10,503.5,5035.0,Completed,2024-02-13
320,9305,2023-10-17,467,6,459.15,2754.9,Cancelled,
321,605,2025-06-15,243,1,205.9,205.9,Completed,2025-06-16
322,7475,2025-01-29,90,10,51.1,511.0,Completed,2025-02-01
323,6178,2025-07-31,261,8,160.02,1280.16,Pending,
324,1620,2025-04-11,109,5,510.65,2553.25,Completed,2025-04-14
325,6648,2024-01-23,249,3,1040.92,3122.76,Completed,2024-01-25
326,9520,2023-07-23,152,2,17.12,34.24,Pending,
327,2925,2025-07-19,342,6,99.4,596.4,Cancelled,
328,5714,2023-10-27,271,2,8.57,17.14,Pending,
329,3799,2025-05-08,10,2,25.29,50.58,Cancelled,
330,207,2024-10-19,243,7,205.9,1441.3,Cancelled,
331,568,2024-03-14,455,9,95.86,862.74,Completed,2024-03-19
332,1963,2023-01-18,190,3,17.99,53.97,Pending,
333,6346,2023-07-27,64,10,23.37,233.7,Completed,2023-07-31
334,7969,2024-09-15,134,3,84.08,252.24,Completed,2024-09-16
335,783,2023-11-10,258,4,148.76,595.04,Completed,2023-11-11
336,1278,2023-08-29,427,6,694.52,4167.12,Completed,2023-08-30
337,8601,2023-06-27,129,1,783.89,783.89,Completed,2023-06-30
338,8513,2025-07-19,244,4,43.71,174.84,Completed,2025-07-24
339,5323,2024-07-16,296,10,31.4,314.0,Completed,2024-07-17
340,7864,2023-08-06,60,5,79.43,397.15,Completed,2023-08-11
341,2134,2023-08-26,404,8,36.4,291.2,Pending,
342,353,2024-05-14,382,2,149.25,298.5,Completed,2024-05-18
343,9080,2023-12-09,20,7,47.66,333.62,Cancelled,
344,3311,2024-09-13,159,3,47.49,142.47,Pending,
345,3569,2024-02-05,239,9,119.84,1078.56,Completed,2024-02-06
346,5069,2023-07-17,402,4,181.98,727.92,Completed,2023-07-18
347,6070,2025-05-04,357,2,23.7,47.4,Completed,2025-05-09
348,761,2024-11-21,369,4,319.73,1278.92,Cancelled,
349,5864,2025-12-05,139,7,34.85,243.95,Cancelled,
350,5797,2023-11-24,61,3,535.57,1606.71,Pending,
351,7434,2024-01-11,354,6,179.83,1078.98,Completed,2024-01-12
352,9803,2023-12-26,163,4,385.62,1542.48,Cancelled,
353,7167,2024-01-13,481,3,510.9,1532.7,Cancelled,
354,6002,2025-03-30,316,6,23.39,140.34,Pending,
355,8877,2024-03-11,429,1,556.79,556.79,Pending,
356,4938,2023-07-02,374,3,160.19,480.57,Cancelled,
357,544,2025-11-17,83,9,487.25,4385.25,Pending,
358,8669,2025-03-17,217,6,1370.71,8224.26,Pending,
359,9682,2024-10-16,208,2,39.28,78.56,Pending,
360,9640,2024-10-21,282,2,110.87,221.74,Completed,2024-10-26
361,9144,2024-09-15,231,3,48.4,145.2,Completed,2024-09-19
362,9012,2025-11-29,45,9,352.83,3175.47,Completed,2025-12-04
363,6888,2025-08-30,409,4,385.31,1541.24,Completed,2025-08-31
364,370,2025-09-18,2,1,178.88,178.88,Completed,2025-09-21
365,7477,2023-11-07,290,10,202.55,2025.5,Pending,
366,997,2024-03-05,118,5,37.46,187.3,Completed,2024-03-07
367,1481,2023-05-17,270,1,37.75,37.75,Pending,
368,6155,2025-04-17,250,5,116.36,581.8,Completed,2025-04-18
369,9236,2025-05-10,18,5,16.73,83.65,Cancelled,
370,2267,2025-03-25,278,10,103.21,1032.1,Completed,2025-03-30
371,1663,2024-11-24,255,9,14.73,132.57,Completed,2024-11-25
372,5211,2024-08-01,27,9,450.94,4058.46,Completed,2024-08-03
373,3542,2025-05-08,302,9,90.82,817.38,Completed,2025-05-09
374,8386,2025-07-30,463,3,108.22,324.66,Completed,2025-08-01
375,1921,2023-02-08,79,1,140.49,140.49,Completed,2023-02-12
376,9385,2024-01-01,66,2,57.13,114.26,Cancelled,
377,2619,2024-08-14,344,7,33.22,232.54,Pending,
378,3337,2023-09-28,437,9,41.02,369.18,Completed,2023-09-29
379,6707,2025-11-10,476,2,34.36,68.72,Completed,2025-11-14
380,8488,2024-03-02,474,10,243.37,2433.7,Completed,2024-03-07
381,4812,2025-08-05,106,8,91.96,735.68,Completed,2025-08-07
382,5041,2025-03-25,243,10,205.9,2059.0,Pending,
383,6421,2023-08-29,437,4,41.02,164.08,Completed,2023-09-03
384,6586,2024-06-10,406,5,97.77,488.85,Completed,2024-06-14
385,7845,2025-05-26,341,8,536.57,4292.56,Cancelled,
386,1255,2025-03-29,274,7,79.2,554.4,Completed,2025-04-01
387,9548,2024-09-27,393,2,956.12,1912.24,Completed,2024-09-28
388,634,2023-04-20,45,9,352.83,3175.47,Completed,2023-04-21
389,2364,2025-01-09,250,2,116.36,232.72,Pending,
390,7805,2024-04-21,80,10,59.93,599.3,Completed,2024-04-26
391,2813,2025-01-12,485,7,519.84,3638.88,Cancelled,
392,5985,2024-07-15,248,3,12.84,38.52,Pending,
393,1575,2023-10-17,296,2,31.4,62.8,Cancelled,
394,8239,2024-07-26,170,6,211.78,1270.68,Completed,2024-07-30
395,3004,2025-11-05,22,9,139.58,1256.22,Pending,
396,1158,2023-08-25,368,9,28.53,256.77,Cancelled,
397,1106,2024-11-17,43,2,271.93,543.86,Completed,2024-11-20
398,1719,2023-02-01,148,1,16.64,16.64,Completed,2023-02-04
399,7322,2025-04-22,260,8,17.21,137.68,Completed,2025-04-27
400,630,2025-09-02,37,10,66.87,668.7,Completed,2025-09-03
401,5973,2023-09-18,411,3,181.56,544.68,Completed,2023-09-23
402,6502,2024-12-12,399,9,131.95,1187.55,Completed,2024-12-16
403,3279,2023-09-23,138,8,167.78,1342.24,Completed,2023-09-28
404,6156,2024-11-20,281,4,74.31,297.24,Cancelled,
405,2934,2023-12-09,373,9,91.42,822.78,Completed,2023-12-12
406,4256,2024-07-01,280,3,73.84,221.52,Completed,2024-07-02
407,292,2025-09-11,4,8,38.78,310.24,Completed,2025-09-16
408,1353,2025-09-29,186,4,69.72,278.88,Pending,
409,1030,2024-09-24,191,1,56.06,56.06,Completed,2024-09-28
410,239,2025-10-17,236,5,47.11,235.55,Completed,2025-10-20
411,3368,2024-12-02,463,7,108.22,757.54,Completed,2024-12-06
412,2590,2024-12-28,56,7,30.96,216.72,Pending,
413,2563,2023-10-23,385,2,237.38,474.76,Completed,2023-10-26
414,29,2023-04-23,357,9,23.7,213.3,Completed,2023-04-24
415,7869,2023-03-22,214,9,156.86,1411.74,Completed,2023-03-26
416,9488,2024-04-13,63,10,61.06,610.6,Completed,2024-04-15
417,7381,2025-06-25,422,1,171.17,171.17,Completed,2025-06-27
418,1702,2025-12-22,397,10,90.95,909.5,Pending,
419,7822,2025-04-27,438,2,166.91,333.82,Completed,2025-04-28
420,2655,2024-05-07,220,10,27.42,274.2,Completed,2024-05-09
421,3015,2024-09-07,133,5,496.99,2484.95,Completed,2024-09-11
422,7986,2025-12-06,20,10,47.66,476.6,Pending,
